,title,price
0,تبلت سامسونگ TAB S6,"۲۵۰,۰۰۰"
1,گوشی نوکیا x2,"۷,۴۰۰,۰۰۰"
2,نوت 4معاوضه,"۲۱,۰۰۰,۰۰۰"
3,گوشی موبایل A51,"۵,۸۰۰,۰۰۰"
4,سامسونگ a30s ,"۲,۲۰۰,۰۰۰"
5,ایفون ایکس 64 گیگ لاکاغذی,"۴,۵۵۰,۰۰۰"
6,سامسونگ گالکسی A91 طرح اصلی با گارانتی,"۳,۵۰۰,۰۰۰"
7,samsung A11,"۳,۵۰۰,۰۰۰"
8,iPhone  ++ proax 11  ++ سوپر کپی,"۳,۸۰۰,۰۰۰"
9,سبز لجنی  ارتشی  سوپر کپی فول پک,"۱۲,۰۰۰,۰۰۰"
10,Iphone 6 64g,"۳,۹۰۰,۰۰۰"
11,سامسونگ A71 پلمپ و با گارانتی,"۱,۲۰۰,۰۰۰"
12,گوشی الجیk8,"۳,۰۰۰,۰۰۰"
13,کوشی هوای باکارتن,"۲,۵۰۰,۰۰۰"
14,آنر 8 خیلی تمیز,"۲,۵۰۰,۰۰۰"
15,گوشیa5 فروشی,"۱,۹۰۰,۰۰۰"
16,سامسونگ گرند پرایم,"۴,۰۰۰,۰۰۰"
17,فروش فوری هانر 9a,"۵,۰۰۰,۰۰۰"
18, جشنواره فروش تبلت32گیگ4gمخصوص مدرسه(پرداخت درب منزل) ,"۱,۸۴۰,۰۰۰"
